,index,commentID,userDisplayName,userLocation,commentBody,recommendations,replyCount,replies,editorsSelection,recommendedFlag,isAnonymous
0,0,107400406,Peter,New York,"Identity politics brings out the worst in people. Whether it is Amy Cooper, Jussie Smollett, riots where people attacks innocents to prove another point, all it shows is that the accusers are flawed, that victimhood is a very problematic position, fraught with unfair aggression. How quickly victims turn to perpetrators today is probably due to how the position is celebrated in media. No wonder. Victimhood allows you to spit in the face of others without consequences - it is the most entitled and privileged position there is today. What happens to a society when it only celebrates weakness? It is the beginning of the end. The downfall of true morality and individual happiness and trust. Because you cannot trust the person who solves life by accusing, not through overcoming and giving. People of color are becoming incredibly racist in the USA. I have read books about race presented with such bias that they made me imagine that this is how Mein Kampf was written, Hitler’s statement of victimhood and moral superiority. The racist always feels morally superior. When the thesis of much of this literature and its reachers are based on the premise that their skin color makes them morally superior, then we must take heed. History has taught us this is racism.",0,0,[],False,0,False
1,1,107400445,AACNY,New York,"Not so ""peaceful"" in the Bronx last night.",1,0,[],False,0,False
2,2,107400536,karen,florida,I was awaiting a huge bolt of lightening to explode over Trump while he was mishandling the Bible.,2,0,[],False,0,False
3,3,107399648,Kris,"Valencia, Spain","Trump has never read a book in his life, let alone the Bible.",0,0,[],False,0,False
4,4,107399557,yves rochette,"Quebec,Canada",We are proud of you...fight the tyranny ! We will help you,0,0,[],False,0,False
5,5,107399805,Sandra,Colorado,"Dangerous superficial one liners is what this Reality President loves because that is what his brain can understand. “The only good Democrat is a Dead Democrat”,  a few weeks ago, now “when the looting starts, the shooting starts” two days ago. These are the phrases which guide his world view. He ties to brand everything and everybody, “Lyin’ Ted” and uses one liners as his personal mission statements. 

He is a danger to our country and to the world.

He must be removed. Prosecute him. Remove him now, not November, as November may never come.",2,0,[],False,0,False
6,6,107398183,Mark In PS,Palm Springs,"The caption under the photo of Trump in front of St. John church should have been the Sinclair Lewis quote ""When fascism comes to America it will be wrapped in the flag and carrying a cross.""",5,0,[],False,0,False
7,7,107399166,There for the grace of A.I. goes I,san diego,The Quiet Citizens ....see an Empty display of aggression in support of the resisting of arrest when being taken in for a Crime/ Yes Excessive Force is a Crime as well and the Cop will have his day in court/ Where is the presumed Innocent?  The fact that it's being played up as a Race statement is going to be looked back on as the Card that took away more Freedom's than it gave / Just look at China and how they dye their Water cannons with blue dye so they can Arrest those who protest/ The only difference between Biden's / Sanders Socialism and Communism is Communist point a Gun at your head!,0,0,[],False,0,False
8,8,107399747,Henry Porter,Brownsville,"That loud, grinding sound you are now hearing coming from California is the sound of Ronald Reagan spinning in his grave. I am sure he is as embarrassed and disturbed by the actions of the thugs and criminals who hide behind the mantle of “protesters” while stealing everything they can grab as we all are.  

Ronnie, we sorely miss you.",1,0,[],False,0,False
9,9,107400392,Cjmesq0,"Bronx, NY",What’s the point of the NYOD arresting rioters and looters when Cuomo’s “bail reform” law lets them out a few hours later...to go back on the street to riot and looting?,2,0,[],False,0,False
10,10,107400346,AACNY,New York,"""Peaceful Protesters Defy Curfew""?

A curfew is mandatory.  Violating curfew isn't a ""peaceful"" act.  The Times continues its efforts to defend protestors.  It clearly doesn't realize they are no friend to Black Americans.",1,0,[],False,0,False
11,11,107400340,Robert,"Princeton, NJ","So the ""Peaceful Protester"" narrative continues.  Try telling that to the shop owners who saw their livelihoods destroyed last night by looters and arsonists.  When they make a curfew, it is illegal to be out, protesting or otherwise.",1,0,[],False,0,False
12,12,107400372,Sophia,London,"This is coming to a crisis. America will have to choose. Trump's way or a new way. You have to choose, each of you. I don't know which it'll be. But I do know that if its Trump's way, America is finished.",6,0,[],False,0,False
13,13,107400256,Tyyaz,California,"America is in desperate need of enlightened leadership in Washington and we need it now. Our cities are burning and there is enormous pressure for Joe to pick a “woman of color” as his Veep. However, his selection should not be based upon political expediency, but on color-blind preconditions of basic competence and relevant experience. Yet, we must demonstrably reconcile the brutal reality of slavery and the silent hypocrisy of Jim Crow with the high-sounding principles of our founding Constitution and established institutions. This contradiction is, and remains, the “Original Sin” that continues to taint our aspirational beginnings.

Elizabeth Warren is still the most qualified candidate to help Biden structurally transform the “Last Mile” of our broken economic system where most of our people struggle to survive (and to be prepared to step into Joe’s shoes on “Day One” if necessary). Concurrently, our country needs more than a politically expedient figurehead to implement systemic change in the administration of justice in our corridors of power. Thus, to show that he has the wisdom to be a “transformative President” as he proclaims, Joe Biden should immediately hold a news conference with Betsy Warren as his selected VP and Barack Obama as his nominated Attorney General to lead the Department of Justice. The Biden/Warren/Obama Trifecta of Decency/Fairness/and Trust in Government will bring us back from the brink of what is truly an existential crises.",1,0,[],False,0,False
14,14,107400527,Bryan P. Auza,The Yay Area Of Northern California,"Despite the awful tragedy that has claimed the life of Mr. George Floyd, the individuals who have been organizing peacefully to demonstrate their anger, disappointment, disgust, displeasure, and frustrations with the system should continue to protest in a non-confrontational and non-destructive way. Though most of the coverage by all outlets of news sources(longstanding and social media platforms) have been focusing on the deaths and injuries to the groups of people who have constantly faced discrimination for many generations, and further deaths(including those within law enforcement ranks), the resulting damages to businesses and property; the effect that it has is only feeding Trump and his supporters flame.

The news and social media outlets should utilize more space and time on their platforms to cover and highlight the positive experiences and outcomes of the protests and demonstrations, than show what embarrassing and shameful act Trump does next-and the resulting carnage that ensues. That way the possibility of those actors(whoever's side they are on) inciting theft and violence may ease up. The US Military's purpose is to protect this country against all enemies, foreign and domestic. Never to disperse a crowd of peaceful demonstrators so that a would be Commander-In-Chief can stroll to a place of worship for a ""dishonorable"" photo-op.

I am quite concerned come this November... I am in the same car with Prime Minister Trudeau. Watching with consternation and horror.",4,0,[],True,0,False
15,15,107398819,Walter,California,Why are we supposed to care what W Bush has to say?  He sits and does paintings of young men he sent to an illegal war which has basically never ended.   He is mindless violence personified and one of the major reasons for the decline of this country in the last twenty years.  He is utterly immoral.,9,0,[],False,0,False
16,16,107399964,PRB,Pittsburgh,"I'm ready to be 60 year old peaceful protester. If this is what it takes to send a message to our law enforcement communnity that it is not ok to put a knee on a guys neck, so be it.",9,1,"[{'commentID': 107400242, 'status': 'approved', 'commentSequence': 107400242, 'userID': 48235973, 'userDisplayName': 'Pete', 'userLocation': 'Melbourne', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': None, 'commentTitle': '<br\\//>', 'commentBody': ""Your comment nails the point  - the officer's action was entirely reckless and yes, criminal behavior, whether the victim was black, white, Asian, Native American, Arab, you name it."", 'createDate': '1591176568', 'updateDate': '1591201778', 'approveDate': '1591185963', 'recommendations': 3, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 107399964, 'parentUserDisplayName': 'PRB', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '107400242', 'isAnonymous': False}]",False,0,False
17,17,107399992,SLD,California,"We need to take the anger,determination, need for big change on the streets to the polls in November. I hope the thousands of young people protesting the ongoing racism and police brutality will vote. Donald Trump does not deserve to be President or anything else. Racism, pandemic and Trump makes America sick, not great. Vote for a better country for everyone. Trump, worst President in the history of our country!",6,0,[],False,0,False
18,18,107399664,ETinSyd,Sydney,"Waiting for the inevitable Tiananmen Square moment with rolling tanks down Pennsylvania Avenue...this time the tanks will not stop, very sad indeed. Peace IS the only answer & remember,  There is only one race. The human race.",4,0,[],False,0,False
19,19,107399973,Andrew,Scotland,People of Scotland and the whole of the UK are protesting and standing with good people of the USA against racism.  Protest events are being held across the UK.,6,0,[],False,0,False
20,20,107398989,whatever,location,"NPR
@NPR
Dozens of public health and disease experts have signed an open letter in support of the nationwide anti-racism protests.

""White supremacy is a lethal public health issue that predates and contributes to COVID-19,"" they wrote.",6,0,[],False,0,False
21,21,107398219,Talking to Grownups,"Sacramento, CA","Retired St. Louis Police Chief David Dorn, murdered by looters in St. Louis.

Downtown Sacramento, CA small businesses decimated by these protesters. Windows smashed. Buildings defaced. And now, curfews.

I am African American and the descendant of slaves on both my parents' sides. This nightmare has absolutely nothing to do with civil rights or civil liberties. Quite the opposite. These people are destroying small businesses, neighborhoods, livelihoods, individual freedoms (curfews), and futures.

There will be a reckoning, only not with Trump. Trump was self-destructing all by himself by virtue of his sorry character until these people and the willfully blind media coverage of them decided to try and save him.

Well done.",6,0,[],False,0,False
22,22,107398904,TYO,WA,"So...among the active brainstorming sessions at the White House on how to look tough, were there any on how to address the underlying cause of the protests?",2,0,[],False,0,False
23,23,107400047,SHAKINSPEAR,In a Thoughtful State,"Don't play the odds you will be safe demonstrating with Trump as President. He desires sadistic control of the nation. Don't satisfy him.

Before the demonstrations, I termed Trump an Anarchist. Now his people are calling everyone else the same thing. It's a propaganda battle now.

I took issue with the photo of all the troops standing guard at the Lincoln Memorial, the tribute to a man who ended slavery by law, but we are all slaves of the troops.",0,0,[],False,0,False
